Fälle;Prognose;Dunkelziffer;Einwohner;Landkreis;Bundesland
23;30.0;7.0;189848;LK Aurich;Niedersachsen
41;30.0;-11.0;227020;SK Krefeld;Nordrhein-Westfalen
13;119.0;106.0;110994;SK Remscheid;Nordrhein-Westfalen
9;89.0;80.0;159360;SK Solingen;Nordrhein-Westfalen
69;60.0;-9.0;310974;LK Kleve;Nordrhein-Westfalen
29;30.0;1.0;163838;SK Leverkusen;Nordrhein-Westfalen
48;90.0;42.0;470089;LK Rhein-Erft-Kreis;Nordrhein-Westfalen
72;60.0;-12.0;615261;LK Recklinghausen;Nordrhein-Westfalen
36;60.0;24.0;306890;LK Paderborn;Nordrhein-Westfalen
60;30.0;-30.0;260475;LK Hochsauerlandkreis;Nordrhein-Westfalen
15;30.0;15.0;278210;LK Siegen-Wittgenstein;Nordrhein-Westfalen
12;30.0;18.0;301902;LK Soest;Nordrhein-Westfalen
53;60.0;7.0;237735;LK Main-Taunus-Kreis;Hessen
37;30.0;-7.0;158080;LK Bad Kreuznach;Rheinland-Pfalz
45;60.0;15.0;102937;LK Rhein-Hunsrück-Kreis;Rheinland-Pfalz
18;30.0;12.0;112262;LK Bernkastel-Wittlich;Rheinland-Pfalz
28;118.0;90.0;60603;LK Vulkaneifel;Rheinland-Pfalz
11;30.0;19.0;48561;SK Frankenthal;Rheinland-Pfalz
14;89.0;75.0;125542;SK Pforzheim;Baden-Württemberg
13;30.0;17.0;170619;LK Waldshut;Baden-Württemberg
95;30.0;-65.0;286748;LK Reutlingen;Baden-Württemberg
20;30.0;10.0;42520;SK Weiden i.d.OPf.;Bayern
18;89.0;71.0;103109;LK Amberg-Sulzbach;Bayern
18;60.0;42.0;133561;LK Neumarkt i.d.OPf.;Bayern
111;30.0;-81.0;72504;LK Tirschenreuth;Bayern
26;119.0;93.0;103656;LK Bayreuth;Bayern
19;30.0;11.0;116099;LK Forchheim;Bayern
7;30.0;23.0;90909;LK Kitzingen;Bayern
59;90.0;31.0;3644826;SK Berlin Mitte;Berlin
37;60.0;23.0;182760;LK Barnim;Brandenburg
23;90.0;67.0;194328;LK Märkisch-Oderland;Brandenburg
32;30.0;-2.0;178658;LK Oder-Spree;Brandenburg
12;60.0;48.0;214664;LK Potsdam-Mittelmark;Brandenburg
41;90.0;49.0;247237;SK Chemnitz;Sachsen
21;60.0;39.0;242165;LK Meißen;Sachsen
43;60.0;17.0;239257;SK Halle;Sachsen-Anhalt
39;30.0;-9.0;238697;SK Magdeburg;Sachsen-Anhalt
15;30.0;15.0;180190;LK Burgenlandkreis;Sachsen-Anhalt
14;30.0;16.0;184582;LK Saalekreis;Sachsen-Anhalt
13;30.0;17.0;190560;LK Salzlandkreis;Sachsen-Anhalt
10;30.0;20.0;65090;SK Weimar;Thüringen
1;30.0;29.0;42370;SK Eisenach;Thüringen
11;60.0;49.0;75009;LK Kyffhäuserkreis;Thüringen
7;30.0;23.0;108742;LK Ilm-Kreis;Thüringen
16;30.0;14.0;83051;LK Saale-Holzland-Kreis;Thüringen
33;46.0;13.0;272775;LK Rendsburg-Eckernförde;Schleswig-Holstein
25;23.0;-2.0;200025;LK Schleswig-Flensburg;Schleswig-Holstein
16;23.0;7.0;104948;SK Salzgitter;Niedersachsen
27;46.0;19.0;175920;LK Gifhorn;Niedersachsen
12;69.0;57.0;132765;LK Northeim;Niedersachsen
21;46.0;25.0;70975;LK Holzminden;Niedersachsen
14;46.0;32.0;121386;LK Nienburg (Weser);Niedersachsen
49;23.0;-26.0;183372;LK Lüneburg;Niedersachsen
7;23.0;16.0;92572;LK Uelzen;Niedersachsen
7;69.0;62.0;50195;SK Emden;Niedersachsen
28;23.0;-5.0;168210;SK Oldenburg;Niedersachsen
4;23.0;19.0;169348;LK Cloppenburg;Niedersachsen
41;46.0;5.0;141598;LK Vechta;Niedersachsen
4;23.0;19.0;56882;LK Wittmund;Niedersachsen
17;92.0;75.0;170880;SK Mülheim a.d.Ruhr;Nordrhein-Westfalen
37;23.0;-14.0;354382;SK Wuppertal;Nordrhein-Westfalen
101;138.0;37.0;364083;LK Gütersloh;Nordrhein-Westfalen
6;46.0;40.0;156374;SK Herne;Nordrhein-Westfalen
11;23.0;12.0;324296;LK Ennepe-Ruhr-Kreis;Nordrhein-Westfalen
9;23.0;14.0;134775;LK Olpe;Nordrhein-Westfalen
40;23.0;-17.0;306460;LK Wetteraukreis;Hessen
43;69.0;26.0;201585;SK Kassel;Hessen
